assigned_who,fixed_bugs,total_reports,fixed_bugs_ratio
8367,1,2,0.5
8372,32,57,0.5614035087719298
8388,1202,3221,0.3731760322881093
8423,1,2,0.5
8457,0,2,0.0
8493,1,2,0.5
8509,204,417,0.4892086330935252
8514,0,4,0.0
8522,1,2,0.5
8548,2,9,0.2222222222222222
8551,0,2,0.0
8567,1,2,0.5
8569,1,2,0.5
8574,1,2,0.5
8586,0,7,0.0
8601,0,5,0.0
8640,0,2,0.0
8644,1,2,0.5
8667,0,2,0.0
8691,1,2,0.5
8693,0,4,0.0
8707,247,423,0.5839243498817966
8721,0,2,0.0
8731,1,30,0.03333333333333333
8745,1,2,0.5
8759,1,3,0.3333333333333333
8792,0,2,0.0
8799,0,2,0.0
8826,179,638,0.28056426332288403
8846,0,2,0.0
8956,0,2,0.0
8962,0,3,0.0
8998,1,2,0.5
8999,0,4,0.0
9013,0,2,0.0
9066,1,2,0.5
9094,0,8,0.0
9118,1,2,0.5
9129,0,2,0.0
9149,0,2,0.0
9227,1,9,0.1111111111111111
9264,1,2,0.5
9275,0,2,0.0
9297,0,5,0.0
9299,0,2,0.0
9339,0,2,0.0
9342,96,146,0.6575342465753424
9355,0,2,0.0
9394,0,2,0.0
9421,1,2,0.5
9429,1,4,0.25
9449,3,13,0.23076923076923078
9473,0,4,0.0
9485,0,2,0.0
9487,1,3,0.3333333333333333
9496,0,2,0.0
9514,1,4,0.25
9557,0,2,0.0
9571,0,2,0.0
9577,1,2,0.5
9603,1,4,0.25
9640,0,2,0.0
9648,0,2,0.0
9660,0,3,0.0
9672,1,2,0.5
9681,16,64,0.25
9687,0,2,0.0
9706,0,2,0.0
9755,0,2,0.0
9810,0,3,0.0
9831,1,2,0.5
9867,0,3,0.0
9874,1,2,0.5
9923,0,2,0.0
9941,0,2,0.0
9957,3,12,0.25
9981,1,2,0.5
10031,0,2,0.0
10089,0,2,0.0
10099,2,5,0.4
10135,31,55,0.5636363636363636
10202,0,2,0.0
10208,0,4,0.0
10253,0,2,0.0
10262,2,4,0.5
10275,0,2,0.0
10289,1,2,0.5
10290,1,3,0.3333333333333333
10302,1,2,0.5
10304,0,2,0.0
10312,0,2,0.0
10319,225,435,0.5172413793103449
10333,0,3,0.0
10338,1,2,0.5
10429,0,2,0.0
10430,1,2,0.5
10465,2,9,0.2222222222222222
10536,1,2,0.5
10539,1,3,0.3333333333333333
10577,307,541,0.5674676524953789
10606,0,2,0.0
10652,1,2,0.5
10654,0,2,0.0
10668,0,2,0.0
10674,0,4,0.0
10714,1,2,0.5
10732,0,2,0.0
10736,0,2,0.0
10743,1,2,0.5
10787,1,3,0.3333333333333333
10914,0,3,0.0
10953,1,2,0.5
10960,0,2,0.0
10976,0,2,0.0
11003,0,2,0.0
11018,1,2,0.5
11067,0,2,0.0
11074,0,2,0.0
11081,0,6,0.0
11094,0,2,0.0
11129,1,2,0.5
11171,0,2,0.0
11375,2,4,0.5
11376,1,2,0.5
11398,1,2,0.5
11401,0,2,0.0
11406,1,2,0.5
11409,0,2,0.0
11496,1,2,0.5
11509,1,2,0.5
11535,1,2,0.5
11614,0,2,0.0
11670,1354,2508,0.539872408293461
11694,1,2,0.5
11712,0,2,0.0
11791,1,2,0.5
11814,1,2,0.5
11842,1,2,0.5
11863,1,2,0.5
11995,274,385,0.7116883116883117
12037,1,3,0.3333333333333333
12075,0,3,0.0
12154,0,2,0.0
12198,1,4,0.25
12205,0,2,0.0
12297,0,2,0.0
12304,0,2,0.0
12313,0,2,0.0
12320,0,2,0.0
12481,0,2,0.0
12507,0,2,0.0
12528,0,2,0.0
12561,0,2,0.0
12569,1,6,0.16666666666666666
12633,684,1396,0.4899713467048711
12674,0,2,0.0
12686,3,7,0.42857142857142855
12687,21,54,0.3888888888888889
12817,0,2,0.0
12825,435,976,0.4456967213114754
12828,861,1489,0.5782404298186703
12856,0,2,0.0
12960,1,2,0.5
13001,16,67,0.23880597014925373
13044,0,2,0.0
13064,0,2,0.0
13129,1,2,0.5
13170,1,2,0.5
13258,1,3,0.3333333333333333
13332,1,2,0.5
13396,1,8,0.125
13439,1,3,0.3333333333333333
13493,0,2,0.0
13505,0,2,0.0
13523,0,2,0.0
13566,0,2,0.0
13574,1,2,0.5
13576,1,2,0.5
13604,0,2,0.0
13790,250,490,0.5102040816326531
13809,0,2,0.0
13874,0,4,0.0
14012,0,2,0.0
14023,0,2,0.0
14048,0,6,0.0
14067,0,2,0.0
14118,0,2,0.0
14155,1,2,0.5
14188,0,2,0.0
14230,0,2,0.0
14306,1,8,0.125
14324,0,2,0.0
14348,0,2,0.0
14354,1,2,0.5
14378,0,6,0.0
14445,1,8,0.125
14450,0,3,0.0
14512,0,4,0.0
14540,0,2,0.0
14616,1,3,0.3333333333333333
14665,1,2,0.5
14689,0,4,0.0
14690,4,12,0.3333333333333333
14712,0,2,0.0
14717,0,2,0.0
14732,0,2,0.0
14785,1,3,0.3333333333333333
14845,1,5,0.2
14881,0,2,0.0
14967,0,2,0.0
15028,2,8,0.25
15049,3,6,0.5
15057,0,2,0.0
15081,0,2,0.0
15098,337,528,0.6382575757575758
15119,10,23,0.43478260869565216
15157,399,704,0.5667613636363636
15195,1,2,0.5
15209,2,8,0.25
15235,1,2,0.5
15239,1,2,0.5
15294,2,4,0.5
15308,0,2,0.0
15322,1,2,0.5
15346,0,3,0.0
15423,1248,1881,0.6634768740031898
15434,22,102,0.21568627450980393
15471,0,2,0.0
15485,1,2,0.5
15486,0,3,0.0
15548,1,2,0.5
15578,0,2,0.0
15633,0,2,0.0
15661,0,2,0.0
15710,0,2,0.0
15767,18,46,0.391304347826087
15782,1,2,0.5
15799,2,4,0.5
15801,0,2,0.0
15833,1,3,0.3333333333333333
15859,0,2,0.0
15869,93,269,0.34572490706319703
15916,1,2,0.5
15919,0,2,0.0
15968,0,2,0.0
16021,0,1,0.0
16059,1,2,0.5
16082,3,9,0.3333333333333333
16087,0,2,0.0
16088,0,2,0.0
16102,0,2,0.0
16199,1,2,0.5
16221,1,2,0.5
16260,1,2,0.5
16356,1,3,0.3333333333333333
16391,0,2,0.0
16394,0,2,0.0
16455,0,5,0.0
16457,2,8,0.25
16482,0,2,0.0
16489,211,316,0.6677215189873418
16495,1,4,0.25
16514,1,2,0.5
16556,1,2,0.5
16596,1,2,0.5
16601,0,2,0.0
16622,1,3,0.3333333333333333
16734,0,2,0.0
16750,0,2,0.0
16756,13,35,0.37142857142857144
16935,0,2,0.0
17002,1,2,0.5
17038,0,2,0.0
17092,60,255,0.23529411764705882
17212,1391,2683,0.5184494968319046
17230,0,2,0.0
17291,1,2,0.5
17340,1,3,0.3333333333333333
17349,0,2,0.0
17355,36,67,0.5373134328358209
17390,4,14,0.2857142857142857
17391,263,479,0.5490605427974948
17407,2,6,0.3333333333333333
17468,1,5,0.2
17500,32,57,0.5614035087719298
17520,0,2,0.0
17629,1,2,0.5
17639,0,2,0.0
17650,1,2,0.5
17720,24,57,0.42105263157894735
17816,0,2,0.0
17859,0,4,0.0
17871,0,3,0.0
17918,0,2,0.0
17923,19,39,0.48717948717948717
17995,1,6,0.16666666666666666
18076,1,3,0.3333333333333333
18097,4,10,0.4
18181,0,2,0.0
18218,0,6,0.0
18241,1,4,0.25
18295,2,4,0.5
18418,1,2,0.5
18439,1,4,0.25
18442,0,2,0.0
18462,0,4,0.0
18482,1,2,0.5
18539,1,3,0.3333333333333333
18647,0,2,0.0
18659,0,2,0.0
18686,0,2,0.0
18767,0,5,0.0
18770,0,2,0.0
18788,0,2,0.0
18817,1,3,0.3333333333333333
18928,0,3,0.0
18996,0,2,0.0
19005,0,2,0.0
19092,1,2,0.5
19291,1,2,0.5
19299,0,2,0.0
19309,0,2,0.0
19539,0,2,0.0
19560,1,2,0.5
19587,0,4,0.0
19590,0,3,0.0
19597,0,2,0.0
19683,2,4,0.5
19725,0,2,0.0
19777,1,11,0.09090909090909091
19876,0,2,0.0
19886,1694,3989,0.42466783655051393
19894,1,3,0.3333333333333333
19964,0,2,0.0
20026,0,2,0.0
20036,0,2,0.0
20111,1,6,0.16666666666666666
20206,1,2,0.5
20215,55,109,0.5045871559633027
20301,0,3,0.0
20324,0,2,0.0
20404,0,14,0.0
20410,0,2,0.0
20465,0,2,0.0
20493,394,810,0.48641975308641977
20583,1,2,0.5
20799,24,149,0.1610738255033557
20805,0,4,0.0
20886,1,3,0.3333333333333333
20891,0,2,0.0
20932,0,1,0.0
20938,0,2,0.0
20953,0,6,0.0
21002,0,2,0.0
21107,14,37,0.3783783783783784
21188,0,2,0.0
21232,0,3,0.0
21269,0,2,0.0
21316,1,3,0.3333333333333333
21411,0,2,0.0
21459,1,2,0.5
21489,0,2,0.0
21533,0,3,0.0
21638,1,3,0.3333333333333333
21666,0,2,0.0
21796,2,8,0.25
21935,0,2,0.0
21947,1,2,0.5
21956,0,3,0.0
21962,1,2,0.5
22131,163,470,0.3468085106382979
22148,0,5,0.0
22181,0,2,0.0
22218,0,2,0.0
22322,0,6,0.0
22363,0,2,0.0
22383,0,2,0.0
22456,1,2,0.5
22465,0,2,0.0
22489,2,10,0.2
22517,1,2,0.5
22647,1,3,0.3333333333333333
22759,0,5,0.0
22789,1,2,0.5
22874,0,2,0.0
22915,0,2,0.0
22951,0,2,0.0
22980,1,2,0.5
23004,0,2,0.0
23080,0,2,0.0
23232,0,2,0.0
23274,10,27,0.37037037037037035
23331,0,2,0.0
23382,0,7,0.0
23389,0,2,0.0
23691,0,2,0.0
23758,2,8,0.25
23845,0,2,0.0
23914,0,2,0.0
23984,0,2,0.0
24088,2,4,0.5
24219,1,4,0.25
24320,5,14,0.35714285714285715
24368,0,2,0.0
24384,1,2,0.5
24400,0,2,0.0
24401,0,2,0.0
24435,5,26,0.19230769230769232
24505,0,2,0.0
24635,0,2,0.0
24640,1,3,0.3333333333333333
24646,0,2,0.0
24687,0,2,0.0
24698,98,217,0.45161290322580644
24739,1,2,0.5
24774,0,2,0.0
24792,1,2,0.5
24794,0,3,0.0
24844,0,3,0.0
24849,0,2,0.0
24912,194,366,0.5300546448087432
24973,2,4,0.5
25013,1,2,0.5
25111,0,3,0.0
25126,0,2,0.0
25196,1,2,0.5
25209,1,2,0.5
25221,1,2,0.5
25273,1,2,0.5
25274,0,2,0.0
25316,0,2,0.0
25388,2,5,0.4
25554,0,2,0.0
25606,117,219,0.5342465753424658
25632,1,2,0.5
25633,0,2,0.0
25639,0,2,0.0
25640,0,2,0.0
25826,0,2,0.0
25827,1,2,0.5
25940,1,5,0.2
25946,0,14,0.0
25949,1,2,0.5
25976,0,2,0.0
25978,0,2,0.0
26153,0,5,0.0
26163,281,533,0.5272045028142589
26186,0,3,0.0
26188,1,3,0.3333333333333333
26237,0,3,0.0
26241,1,3,0.3333333333333333
26265,1,2,0.5
26295,1,2,0.5
26314,0,2,0.0
26539,1,3,0.3333333333333333
26550,3,11,0.2727272727272727
26610,0,1,0.0
26615,1,2,0.5
26646,0,2,0.0
26657,1,4,0.25
26674,1,2,0.5
26682,0,3,0.0
26694,1,3,0.3333333333333333
26705,4,4,1.0
26706,426,895,0.4759776536312849
26748,2,6,0.3333333333333333
26858,0,2,0.0
26900,0,2,0.0
26961,0,2,0.0
27012,1,2,0.5
27015,0,2,0.0
27020,1,2,0.5
27134,0,2,0.0
27203,1,5,0.2
27225,1,2,0.5
27331,0,2,0.0
27351,1,3,0.3333333333333333
27357,1,3,0.3333333333333333
27499,1,2,0.5
27608,0,1,0.0
27609,177,281,0.6298932384341637
27725,2,10,0.2
27752,0,2,0.0
27791,0,2,0.0
27808,0,2,0.0
27819,0,2,0.0
27843,0,2,0.0
27917,0,4,0.0
27920,1,3,0.3333333333333333
27998,0,4,0.0
28126,2,4,0.5
28191,1,2,0.5
28204,1,3,0.3333333333333333
28236,0,2,0.0
28276,0,4,0.0
28331,1,2,0.5
28374,0,3,0.0
28402,0,2,0.0
28443,2,6,0.3333333333333333
28595,0,3,0.0
28617,13,82,0.15853658536585366
28669,1,2,0.5
28702,1,2,0.5
28753,0,2,0.0
28789,74,116,0.6379310344827587
28847,0,2,0.0
28855,0,2,0.0
28910,1,2,0.5
28960,1,2,0.5
29061,0,2,0.0
29189,212,489,0.4335378323108384
29308,0,2,0.0
29309,1,2,0.5
29492,0,2,0.0
29530,0,2,0.0
29708,0,2,0.0
29781,0,2,0.0
29915,0,2,0.0
29942,1,9,0.1111111111111111
29963,1,2,0.5
30015,0,2,0.0
30064,0,3,0.0
30115,1,10,0.1
30236,0,2,0.0
30386,0,3,0.0
30407,0,2,0.0
30441,1,3,0.3333333333333333
30445,1,2,0.5
30510,1,2,0.5
30629,0,2,0.0
30638,0,3,0.0
30665,1,2,0.5
30679,1,2,0.5
30791,24,70,0.34285714285714286
30960,193,260,0.7423076923076923
30971,1,2,0.5
31108,0,4,0.0
31112,0,2,0.0
31115,280,585,0.47863247863247865
31216,1,2,0.5
31299,1,2,0.5
31322,0,2,0.0
31345,0,20,0.0
31355,0,2,0.0
31421,1,2,0.5
31499,0,2,0.0
31519,0,2,0.0
31529,0,2,0.0
31587,0,2,0.0
31602,0,2,0.0
31610,0,6,0.0
31637,0,2,0.0
31639,0,3,0.0
31732,29,68,0.4264705882352941
31741,57,92,0.6195652173913043
31781,0,2,0.0
32241,0,2,0.0
32369,0,2,0.0
32400,0,2,0.0
32503,1044,1825,0.572054794520548
32820,0,2,0.0
32855,0,2,0.0
33183,0,2,0.0
33497,1,2,0.5
33706,1,4,0.25
33777,0,2,0.0
33814,1,2,0.5
33952,0,2,0.0
34008,0,5,0.0
34016,0,2,0.0
34140,1,2,0.5
34165,0,2,0.0
34211,76,159,0.4779874213836478
34419,0,2,0.0
34537,0,2,0.0
34653,560,1207,0.463960231980116
34687,1,4,0.25
34863,0,2,0.0
34958,0,2,0.0
35004,1,5,0.2
35266,0,3,0.0
35307,2,4,0.5
35345,1,2,0.5
35350,1,3,0.3333333333333333
35352,1,2,0.5
35433,0,2,0.0
35599,0,2,0.0
35607,2,5,0.4
35645,0,2,0.0
35700,0,4,0.0
35894,0,3,0.0
36061,1,2,0.5
36287,1,2,0.5
36407,1,3,0.3333333333333333
36444,3,9,0.3333333333333333
36645,55,165,0.3333333333333333
36666,650,1506,0.4316069057104914
36686,0,2,0.0
36696,0,2,0.0
36705,0,2,0.0
36983,0,3,0.0
37148,0,4,0.0
37190,0,35,0.0
37378,1,2,0.5
37403,0,2,0.0
37419,0,2,0.0
37429,1,2,0.5
37635,1,2,0.5
37677,1,2,0.5
37691,0,3,0.0
37721,0,2,0.0
37869,3,7,0.42857142857142855
37870,1,2,0.5
37913,0,2,0.0
37961,0,2,0.0
37991,0,6,0.0
38049,1,2,0.5
38141,0,2,0.0
38324,0,2,0.0
38342,1,2,0.5
38625,1,2,0.5
38823,0,2,0.0
38962,1,2,0.5
39075,0,2,0.0
39101,1,2,0.5
39125,2,6,0.3333333333333333
39237,1,2,0.5
39629,1,2,0.5
39763,0,3,0.0
40370,1,8,0.125
40374,1,2,0.5
40527,0,2,0.0
